시군구,종량제,인구수,1인가구비율,15_64세인구율,외국인수,외국인비율,아파트,연립주택,다세대주택,소득수준,경제활동참가율,재정자주도,제조업종사자수,음식점업종사자수,20ℓ가격,인센티브제도입,일제대청소참여율,청결유지책임제이행실적,공무원단속건수,주민신고건수
강원도 강릉시,40274.5,211381,0.38381987,0.667202823,4447,0.0210378416,0.485792982,0.0272877139,0.0106283854,34808,0.607,0.581,6276,9183,520,0,0,14,219,142
강원도 고성군,12227.6,27274,0.386302705,0.611828115,1888,0.0692234362,0.196604111,0.00259972378,0.00747420587,31773,0.713,0.6048,967,1555,500,0,0.0817628511,1,0,7
강원도 동해시,28319.7,89426,0.340636531,0.664381723,1491,0.0166730034,0.613699262,0.0303403034,0.0217302173,35084,0.608,0.6106,3333,2388,560,0,0.00559121508,1,35,31
강원도 삼척시,25672.2,63455,0.399582154,0.63544244,1366,0.0215270664,0.413768702,0.0315069416,0.0199487802,33515,0.617,0.6814,1612,2027,290,0,0,0,30,7
강원도 속초시,33989,82806,0.374113381,0.680131875,1956,0.0236214767,0.642552397,0.0309850141,0.0113327289,34432,0.618,0.6072,1826,4792,400,0,0.0102649566,2,210,40
강원도 양구군,5872.7,21383,0.339718885,0.651031193,744,0.0347939952,0.269326683,0.0293584221,0.0165495353,34588,0.718,0.659,449,516,400,0,0.0431651312,5,30,1
강원도 양양군,11236.5,27866,0.395352452,0.604141247,624,0.0223928802,0.26766146,0.0310095593,0.0150773296,33142,0.682,0.6847,975,1790,340,1,0,0,40,30
강원도 영월군,7509.9,37728,0.403702649,0.607400339,652,0.0172815946,0.226602108,0.0322984905,0.0375961265,33172,0.721,0.6541,2060,863,350,0,0.046384648,2,100,9
강원도 원주시,54040.7,360807,0.367607155,0.709454085,7164,0.0198554906,0.636764484,0.00635018341,0.00559645244,36054,0.624,0.5685,18313,9902,680,1,0.00466731521,11,1081,166
강원도 인제군,18575.1,32206,0.362277001,0.663665156,947,0.0294044588,0.250277593,0.0310163595,0.0205048486,34485,0.732,0.7218,661,752,300,0,0,6,4,0
강원도 정선군,11723.2,34931,0.399024812,0.614468524,754,0.0215854112,0.276817677,0.0205530181,0.0206147389,33550,0.717,0.6806,814,1400,280,0,0.067275486,1,5,9
강원도 철원군,7176.1,42256,0.308402423,0.639151836,1393,0.0329657327,0.257952608,0.0448050803,0.0447462809,34293,0.661,0.6426,1342,841,400,0,0.0591631958,0,20,0
강원도 춘천시,62615.3,286664,0.369484827,0.689256412,6889,0.0240316189,0.56574562,0.0127523489,0.0102050533,35466,0.607,0.5978,7204,9832,470,1,0.00565819217,4,27113,309
강원도 태백시,19196.5,39428,0.380467023,0.626052551,634,0.0160799432,0.507792698,0.104567761,0.00684894569,34429,0.66,0.6646,1050,1199,370,0,0,0,4,4
강원도 평창군,4746,40990,0.394888794,0.615735545,1081,0.0263722859,0.163334046,0.0515397776,0.0392964072,33645,0.698,0.7065,906,3104,490,0,0,7,30,63
강원도 홍천군,16239.9,67977,0.365519078,0.619930271,1886,0.0277446783,0.228774056,0.0450156489,0.0202104282,33673,0.717,0.6756,2318,2918,450,0,0.00186827898,0,147,23
강원도 화천군,10959.3,23388,0.377335865,0.645330939,526,0.0224901659,0.250924353,0.034675727,0.0186869192,33350,0.739,0.6952,322,316,230,0,0,3,6,1
강원도 횡성군,8578.4,46532,0.3439028,0.599329494,1770,0.0380383392,0.203980837,0.0140761594,0.019410283,33166,0.692,0.6563,5483,1635,400,0,0,9,0,5
경기도 가평군,20060,62150,0.375915135,0.631552695,2108,0.0339179405,0.183064396,0.0577842522,0.103765128,33756,0.625,0.6495,1584,4233,500,0,0.0251327434,7,87,319
경기도 고양시,113440.3,1076535,0.282999123,0.733501465,21712,0.0201684107,0.628783111,0.0267368461,0.0823964948,120419,0.626,0.5531,27031,25833,710,0,0.000195070295,0,809,2344
경기도 과천시,12090.4,78137,0.187231339,0.71341362,587,0.00751244609,0.626509177,0.010279221,0.0873546892,49748,0.605,0.5799,325,1934,440,0,0,0,76,185
경기도 광명시,46399.8,287945,0.254067425,0.723165882,7026,0.0244004931,0.664547695,0.00833037769,0.137242063,38492,0.61,0.5703,14285,6623,500,0,0.00694577089,0,163,230
경기도 광주시,62861.1,391462,0.262294008,0.721017621,18771,0.0479510144,0.339357206,0.025390689,0.368030665,36392,0.675,0.5547,43456,8138,560,0,0.00178816846,3,329,494
경기도 구리시,39766.1,188701,0.278665853,0.733297651,2697,0.0142924521,0.630953834,0.0269405464,0.0677920141,37659,0.631,0.5306,2942,4545,510,0,0,15,928,146
경기도 군포시,46287.5,266213,0.28447389,0.73725175,11115,0.0417522811,0.683513123,0.010825146,0.104334777,37770,0.625,0.5757,27995,5999,900,0,0.00169037575,0,1893,522
경기도 김포시,81420.1,484267,0.269366815,0.699717305,30716,0.0634278198,0.722824355,0.0275145133,0.0385203186,38904,0.637,0.5319,74269,10382,720,0,0.00194314294,62,1108,871
경기도 남양주시,103143.2,737353,0.240682614,0.707392524,13836,0.0187644181,0.7047388,0.0395063704,0.0862433304,37199,0.614,0.5657,31614,14581,740,0,0.00474128403,22,1097,1695
경기도 동두천시,20681.5,91546,0.352881826,0.673890722,5118,0.0559063203,0.52044394,0.0520872746,0.150107201,32077,0.584,0.5695,4645,2329,550,0,0.0067725515,0,346,27
경기도 부천시,118899,790128,0.291366489,0.738395551,46267,0.0585563352,0.474750519,0.0188755058,0.253910554,105315,0.625,0.5359,59294,17514,600,0,0,14,10891,519
경기도 성남시,168552.2,922518,0.333657647,0.729738607,27968,0.0303170236,0.497047948,0.0274842562,0.0867485957,123703,0.637,0.6548,36803,28970,500,0,0,18,54151,891
경기도 수원시,150951.5,1190964,0.343899311,0.755789428,61702,0.051808451,0.570227476,0.0168132978,0.107954257,156822,0.646,0.5654,35169,31910,600,1,0.00281536638,18,15257,1764
경기도 시흥시,77222.2,512912,0.313546108,0.753569813,61819,0.120525548,0.677218784,0.00743524837,0.106697017,35623,0.67,0.5252,85244,11520,530,0,0,39,1095,949
경기도 안산시,108792.3,641660,0.337981974,0.770565408,92525,0.144196303,0.417711246,0.0291129486,0.240501994,68035,0.652,0.5552,117358,14709,500,0,0.00478914067,0,4542,2172
경기도 안성시,28976.9,188842,0.360788652,0.696153398,21700,0.114910878,0.519406323,0.0255266389,0.0395784458,34534,0.655,0.5861,40698,4668,440,1,0,18,180,107
경기도 안양시,81512.9,548228,0.265080602,0.734796472,12220,0.0222899961,0.629319976,0.013956305,0.138211077,78450,0.613,0.5635,32279,14418,550,1,0.00413149274,2,1534,236
경기도 양주시,43626.8,243432,0.281095165,0.695915081,11634,0.0477915804,0.698872373,0.0161028532,0.0695690244,33987,0.608,0.5811,29832,5279,600,0,0,0,546,154
경기도 양평군,12101.7,122323,0.328762515,0.624862046,2949,0.0241083034,0.145237247,0.0285527722,0.0842732202,36388,0.574,0.5743,1443,3229,560,0,0,8,103,409
경기도 여주시,18015.6,113150,0.323768746,0.660132567,5615,0.0496243924,0.2963318,0.0249659168,0.0852931152,34522,0.629,0.6099,7721,3001,460,1,0.0185594344,6,2839,93
경기도 연천군,8773.1,42062,0.369566397,0.618943464,1591,0.0378251153,0.271178162,0.0532913659,0.059206599,33767,0.635,0.627,2528,945,560,0,0.00128381912,0,433,17
경기도 오산시,27661.7,229849,0.357184098,0.74536326,18727,0.0814752294,0.65944614,0.0143620092,0.0688716595,37230,0.668,0.5633,13325,5173,480,0,0,0,1889,209
경기도 용인시,130656.1,1074971,0.254605034,0.714796027,30246,0.028136573,0.675641665,0.0264714677,0.0783603289,126848,0.614,0.5858,59590,23960,660,0,0,78,5658,5351
경기도 의왕시,21167.1,160221,0.23451269,0.727251734,2104,0.0131318616,0.746410773,0.0105614047,0.0952836727,40536,0.6,0.5961,9349,3669,680,0,0.00413179296,4,1179,301
경기도 의정부시,68882.2,463724,0.313056114,0.721625363,8777,0.0189272067,0.64746175,0.0140364548,0.106436973,34700,0.608,0.4796,5410,10064,670,0,0.00183298686,1,2241,317
경기도 이천시,35541.4,222721,0.314979191,0.719779455,11882,0.0533492576,0.42784476,0.0329675287,0.110124855,37790,0.667,0.5779,44854,6835,640,1,0,5,3005,468
경기도 파주시,81646.9,495315,0.280607408,0.711161584,18900,0.0381575361,0.623867563,0.0186351761,0.0861126327,37411,0.619,0.5362,77035,11298,800,0,0.00197450108,51,119,644
경기도 평택시,97255.9,578529,0.359962052,0.73799412,39894,0.0689576495,0.596103832,0.0189574235,0.088808741,37539,0.666,0.5773,91709,14563,500,0,0.00651479874,335,12082,530
경기도 포천시,35183.6,146701,0.394945107,0.689040974,18848,0.128479015,0.294457172,0.0349439172,0.143390557,32476,0.635,0.599,41649,4564,560,0,0.0250441374,3,2063,31
경기도 하남시,35952.7,326059,0.305020359,0.712371074,4789,0.0146875259,0.661258366,0.00966473736,0.0159596874,41947,0.63,0.5436,10641,7532,500,0,0,43,395,144
경기도 화성시,115303.8,910814,0.31327866,0.731217351,62376,0.0684837958,0.695424382,0.0121472365,0.0397512775,42496,0.689,0.623,245997,21964,600,0,0,0,415,767
경상남도 거제시,15604.9,236662,0.314155817,0.712746449,9561,0.0403993882,0.614465799,0.0261624303,0.016294689,38816,0.632,0.6247,34691,5569,650,0,0.0163862386,1,1186,0
경상남도 거창군,48310.9,60387,0.370097029,0.605444881,1427,0.0236309139,0.274379051,0.0187315026,0.0160716293,33864,0.686,0.6148,2315,1085,400,1,0,0,20,6
경상남도 고성군,18844.1,50448,0.384945084,0.585038059,2039,0.040417856,0.202696669,0.0167872131,0.0337530137,33318,0.671,0.6195,4498,830,400,0,0.0117745005,0,21,1
경상남도 김해시,7861,535129,0.295747915,0.733030727,29308,0.0547681026,0.663023,0.00755470164,0.0485599433,36283,0.63,0.5558,84511,12531,800,0,0.00564349904,10,328,318
경상남도 남해군,74952.9,41579,0.406483539,0.532287934,1473,0.0354265374,0.0900828116,0.0117652999,0.021157342,31812,0.693,0.609,830,1722,400,0,0.0336708435,1,15,7
경상남도 밀양시,7518.8,102945,0.391667195,0.603351304,4851,0.0471222497,0.342629566,0.0168599861,0.0210010353,33083,0.613,0.6541,8684,1800,700,0,0.029238914,0,770,32
경상남도 사천시,19181,109369,0.36251298,0.646426318,4900,0.0448024577,0.463032191,0.0278296989,0.0129179647,35156,0.654,0.5851,17160,3540,500,0,0.00622662729,0,259,0
경상남도 산청군,22343.6,34028,0.412087569,0.544287058,1179,0.034647937,0.0720389197,0.0124119005,0.00742219173,32673,0.734,0.6243,1225,593,450,0,0.0658281415,0,39,2
경상남도 양산시,8798,353792,0.312346104,0.703523539,10678,0.0301815756,0.744542266,0.00637595433,0.0165142032,35726,0.595,0.5232,48496,8344,950,0,0.00285478473,6,280,203
경상남도 의령군,44820,26061,0.444761678,0.542419708,1146,0.0439737539,0.102863034,0.0163375367,0.0215718931,32591,0.697,0.6658,1810,327,400,0,0.0268600591,1,52,1
경상남도 진주시,4057.5,343782,0.357961319,0.689503813,8325,0.0242159275,0.521016029,0.00702742085,0.011975096,36492,0.628,0.5785,13544,8618,590,0,0.0469221774,0,705,0
경상남도 창녕군,63000.7,58372,0.395929015,0.579096142,4179,0.0715925444,0.190175258,0.024947643,0.0411140096,32884,0.657,0.6294,8539,1093,320,0,0.0256972521,4,5,20
경상남도 창원시,10727.8,1021487,0.322125757,0.713237662,24086,0.0235793505,0.587669556,0.0207876025,0.0187261965,183867,0.625,0.5798,117375,23306,700,0,0.00632215584,0,354,291
경상남도 통영시,179271.6,122681,0.354395757,0.659816924,6079,0.0495512753,0.495906411,0.0194791994,0.0168733482,33836,0.582,0.5432,3623,3198,500,0,0.0244536644,0,183,11
경상남도 하동군,27029.6,42465,0.397314539,0.557023431,1078,0.0253856117,0.107881469,0.0164111534,0.0126041774,32419,0.73,0.6354,962,600,400,0,0.0223713647,0,24,2
경상남도 함안군,3909.6,61456,0.359022275,0.618198386,4734,0.0770307212,0.371505457,0.0169307819,0.0139034235,34008,0.63,0.6237,22020,1187,400,0,0.0019363447,3,64,41
경상남도 함양군,11446.8,37708,0.406661371,0.559854673,965,0.0255913864,0.168917385,0.00788697231,0.0221856559,32815,0.699,0.6515,1556,569,400,0,0.0190675719,0,99,0
경상남도 합천군,7751.7,42142,0.436534324,0.521878411,1239,0.029400598,0.0826814004,0.0308527283,0.0207314688,32441,0.704,0.6357,990,510,350,0,0.0622894025,1,14,6
경상북도 경산시,49423.4,267725,0.388719758,0.702930246,17042,0.0636548697,0.550682968,0.00699880803,0.0209078316,32768,0.605,0.5762,32397,5879,430,0,0.00194229153,8,115,87
경상북도 경주시,71177.3,249607,0.375756298,0.655085795,18261,0.073159006,0.40133653,0.0241664252,0.0466907277,34597,0.619,0.5803,36689,7762,350,0,0.00379797041,0,168,191
경상북도 고령군,8380.9,30353,0.381544311,0.587322505,2427,0.0799591474,0.241444867,0.0130886224,0.0334893244,32335,0.664,0.5864,8835,467,360,1,0.0171317497,0,69,0
경상북도 구미시,89865.9,408110,0.353644247,0.746411507,8495,0.0208154664,0.591842101,0.0180168851,0.0406122997,37729,0.637,0.5867,82844,8527,600,0,0,0,886,276
경상북도 군위군,7006,23340,0.41868574,0.524378749,772,0.0330762639,0.0514975414,0.0117121144,0.0244076889,35221,0.723,0.65,1723,323,240,0,0.00642673522,5,18,14
경상북도 김천시,20843.9,139324,0.360411244,0.640262984,4546,0.0326289799,0.447211172,0.017337066,0.0125075717,33378,0.658,0.5918,12834,2705,350,0,0.00165082829,0,101,60
경상북도 문경시,22922.4,70373,0.37140322,0.588847996,1579,0.0224375826,0.218658892,0.0350488021,0.0383128407,32869,0.651,0.6694,3174,1175,270,1,0.00710499766,0,117,23
경상북도 봉화군,9572.9,30139,0.392052236,0.540362985,823,0.0273068118,0.102436284,0.0384048304,0.0185354209,33081,0.764,0.6524,1596,377,250,0,0,1,52,0
경상북도 상주시,20929.9,94823,0.382470666,0.57880472,2657,0.0280206279,0.249148007,0.00674732966,0.0244962375,32430,0.683,0.6387,4140,1238,290,0,0.00527298229,0,6,0
경상북도 성주군,7498.2,42566,0.374228559,0.584198656,2553,0.0599774468,0.0633113428,0.0134603107,0.0158544371,34154,0.677,0.6426,8646,752,300,0,0.0224827327,0,47,10
경상북도 안동시,32817.8,154610,0.39640955,0.631938426,3133,0.0202638898,0.432105461,0.0149208071,0.0134885209,31230,0.618,0.6331,4139,3229,300,1,0.00355733782,0,320,0
경상북도 영덕군,15189.4,34650,0.433983452,0.52952381,1672,0.0482539683,0.0814420804,0.043321513,0.0363475177,32071,0.636,0.6271,866,806,250,0,0,0,9,0
경상북도 영양군,4032,16022,0.41066598,0.53657471,558,0.0348271127,0.0472755378,0.0135256988,0.0494654129,34151,0.777,0.7162,286,120,200,0,0.0312070903,0,3,15
경상북도 영주시,29269.8,100749,0.362733569,0.610060646,2166,0.0214989727,0.352606821,0.0295526809,0.0277886668,32993,0.627,0.6355,5383,2105,390,1,0.0552065033,0,797,0
경상북도 영천시,21420.7,101088,0.386729469,0.611694761,4754,0.0470283318,0.3715187,0.0168960525,0.0207635633,35307,0.677,0.6525,15270,1480,360,0,0.011811491,0,81,0
경상북도 예천군,7789.1,55755,0.365616274,0.563052641,1339,0.0240157833,0.343238931,0.0119664938,0.0183087355,34228,0.661,0.6232,817,641,600,1,0.0431172092,0,160,0
경상북도 울릉군,3453.3,8996,0.45433145,0.660293464,223,0.024788795,0.0421374765,0.0463747646,0.0242467043,34638,0.813,0.6296,240,535,300,0,0.0833703868,6,23,0
경상북도 울진군,16180.7,47030,0.407361683,0.608547735,2352,0.0500106315,0.208230453,0.061911294,0.0426611797,31462,0.635,0.5917,806,1261,400,0,0.00255156283,0,14,0
경상북도 의성군,8636.7,50186,0.416520139,0.502769697,1198,0.0238711991,0.0772439174,0.0119402985,0.0249028828,32426,0.734,0.5985,1395,396,340,0,0.00597776272,0,68,68
경상북도 청도군,7646.8,41614,0.397897354,0.539265632,1681,0.0403950594,0.100160547,0.0146045885,0.0285359159,32474,0.739,0.5615,1571,899,290,0,0.0264334118,0,0,0
경상북도 청송군,9457.1,24295,0.419111484,0.539082116,677,0.027865816,0.0890192791,0.0124895222,0.0390611903,34866,0.818,0.697,296,384,140,0,0.0061741099,0,57,0
경상북도 칠곡군,29367.3,112487,0.354885706,0.702356717,5830,0.0518282113,0.463413633,0.0099725038,0.0471334181,74242,0.634,0.5871,24489,2211,350,0,0.00605403291,0,96,96
경상북도 포항시,101419.8,496650,0.332208996,0.684103493,10830,0.0218061009,0.561424678,0.0339257844,0.0451582846,36399,0.607,0.5334,40537,12190,900,0,0.00201349039,0,1986,275
광주광역시 광산구,55475.2,400654,0.323710264,0.74634223,23229,0.0579777064,0.728376926,0.0240617204,0.00431581311,38077,0.644,0.3025,49207,9953,740,0,0.00363405831,42,983,474
광주광역시 남구,24229.8,212379,0.329022752,0.67963405,2722,0.0128167098,0.673341471,0.0139983945,0.0110403677,36689,0.606,0.309,1039,3860,740,0,0.00386102204,11,194,250
광주광역시 동구,17390.3,105909,0.42361206,0.672737917,2527,0.0238601063,0.516030832,0.0168016392,0.0320616646,35448,0.577,0.3482,1072,4398,740,1,0.00932876337,22,145,102
광주광역시 북구,49306.2,424707,0.365416359,0.714711554,8280,0.0194957936,0.678387746,0.0130886857,0.0111620057,37956,0.562,0.2718,17912,9156,740,0,0.01059554,0,130,350
광주광역시 서구,36607.5,287401,0.372574618,0.726417097,3355,0.011673585,0.665230851,0.00900576932,0.0108350662,32238,0.597,0.3097,9909,9393,740,0,0.00134655064,14,638,374
대구광역시 남구,28733.4,141519,0.465939631,0.678997166,2556,0.0180611791,0.246060709,0.00763812272,0.0742029477,31782,0.533,0.3616,1056,2722,560,0,0.0106699454,8,3488,1319
대구광역시 달서구,91674.9,536989,0.327747395,0.723336977,15653,0.0291495729,0.662412107,0.00496852972,0.025948717,35269,0.571,0.3087,48707,11566,560,0,0.00636325884,1,3417,537
대구광역시 달성군,44931.5,263162,0.282061534,0.699933881,10079,0.0382996025,0.756720737,0.00575927195,0.0170588683,35755,0.645,0.5469,45883,4913,560,0,0.0010449837,7,541,168
대구광역시 동구,57030.7,339530,0.345339815,0.678246399,3708,0.010920979,0.579676096,0.0137239502,0.0822759956,34580,0.566,0.2999,6397,7239,560,0,0.00647954525,8,1127,267
대구광역시 북구,74011.6,430912,0.343704597,0.723658195,8460,0.0196327789,0.631100875,0.0085075928,0.0317864331,34498,0.581,0.3138,25310,9038,560,0,0.00409132259,9,2908,391
대구광역시 서구,34262.5,159827,0.379242035,0.677069581,4018,0.0251396823,0.248073665,0.00974096945,0.138013006,30984,0.537,0.3497,15501,2662,560,0,0.0162988732,0,1130,85
대구광역시 수성구,67371.8,411553,0.278454027,0.7017225,2983,0.00724815516,0.647389991,0.00735127453,0.0392741842,42660,0.54,0.3654,1926,11397,560,0,0.00722628677,2,792,482
대구광역시 중구,22396.8,80199,0.43801121,0.694609658,978,0.0121946658,0.505376921,0.0082061734,0.0257180402,36943,0.6,0.4498,2031,6831,560,0,0.00129677427,5,3179,1193
대전광역시 대덕구,30179.7,172746,0.357365376,0.720937098,4433,0.0256619545,0.533993036,0.0176182623,0.102411058,34172,0.611,0.3505,25936,3641,660,0,0.00347330763,0,78,94
대전광역시 동구,36315.3,219751,0.423431146,0.689621435,7862,0.0357768565,0.484061449,0.0207720221,0.0640589731,31707,0.546,0.3136,4701,4527,660,0,0.00202956983,7,417,84
대전광역시 서구,77064.6,470374,0.383540536,0.733788432,6923,0.0147180754,0.579444513,0.0112871986,0.031070805,37460,0.622,0.3109,2403,12835,660,0,0.00543397382,2,2837,382
대전광역시 유성구,57837.3,356093,0.390177161,0.746529699,10506,0.0295035286,0.641009903,0.00877176158,0.0143659973,42146,0.65,0.363,22997,13235,660,0,0.0019657786,0,459,3115
대전광역시 중구,36635.9,227108,0.361635538,0.684925234,3120,0.0137379573,0.51883897,0.0226451287,0.07977789,34838,0.592,0.3433,2003,5177,660,1,0.00604998503,2,894,196
부산광역시 강서구,23876.1,143207,0.296867547,0.67548374,6687,0.0466946448,0.641101747,0.00544159997,0.0108478649,40296,0.678,0.4991,68775,4715,510,0,0.0178063921,71,554,111
부산광역시 금정구,27413.4,221256,0.389172575,0.679656145,5885,0.0265981488,0.454985565,0.0267690555,0.146503133,34668,0.536,0.3333,7476,5251,850,0,0.00262139784,15,465,95
부산광역시 기장군,26490.4,178614,0.298993637,0.67147592,3386,0.0189570806,0.704145993,0.0165391192,0.0443332492,36349,0.598,0.5434,16995,6703,590,0,0.00520675871,14,364,134
부산광역시 남구,29382.2,256333,0.346943728,0.676065899,8069,0.0314785845,0.548241554,0.0233410927,0.153905611,36021,0.545,0.3299,4292,5909,680,0,0.00486086458,6,333,1306
부산광역시 동구,14765.5,86462,0.425464936,0.648886216,2591,0.0299669219,0.313952925,0.0213095699,0.0986536226,32284,0.546,0.4111,1548,3315,850,0,0.00818856839,10,519,730
부산광역시 동래구,33489.2,273226,0.303014632,0.680550167,1965,0.00719184851,0.601490821,0.0213280073,0.101522028,37942,0.564,0.3476,1953,7150,850,1,0.0118949148,6,356,1115
